delegate,voting_power,th_vp,ch_member_r2,ch_vp_r2,ch_member_r3,ch_vp_r3,ch_member_r4,ch_vp_r4,gc_member_s3,gc_vp_s3,gc_member_s4,gc_vp_s4,gc_member_s5,gc_vp_s5,gc_member_mm_s5,gc_vp_mm_s5,sc_member_s5,sc_vp_s5,coc_member_s5,coc_vp_s5,dab_member_s5,dab_vp_s5,gc_member_s6,gc_vp_s6,gc_member_mm_s6,gc_vp_mm_s6,sc_member_s6,sc_vp_s6,coc_member_s6,coc_vp_s6,dab_member_s6,dab_vp_s6
0x5e349eca2dc61abcd9dd99ce94d04136151a09ee,5989980.110335392,7.488093105534427,0,0,1,0.7575757575757576,0,0,0,0,0,0.0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0
0xf11b6a8c3cb8bb7dbc1518a613b10ceb0bbfc06b,5171504.637178828,6.464914324520157,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0
0x429f9ada43e9f345cbb85ec88681bb70df808892,5166088.837932522,6.458144016731112,0,0,1,0.7575757575757576,0,0,0,0,0,0.0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0
0xeff8d84e0fd304550da242040ccd45bd44ce71f1,4980186.528557382,6.225746951049207,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0
0x406b607644c5d7bfda95963201e45a4c6ab1c159,3459706.18625126,4.324989659939338,0,0,0,0.0,0,0,0,0,1,11.11111111111111,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0
0x1b686ee8e31c5959d9f5bbd8122a58682788eead,2771534.342608948,3.4647038588380084,0,0,0,0.0,0,0,0,0,1,11.11111111111111,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0
0xf4b0556b9b6f53e00a1fdd2b0478ce841991d8fa,2569478.752179172,3.2121135253540505,0,0,1,0.7575757575757576,0,0,0,0,0,0.0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0
0x2b888954421b424c5d3d9ce9bb67c9bd47537d12,2327501.8892970146,2.909617482751118,0,0,1,0.7575757575757576,0,0,0,0,0,0.0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0
0x48a63097e1ac123b1f5a8bbffafa4afa8192fab0,2122884.5240014363,2.653824666394563,0,0,1,0.7575757575757576,0,0,0,0,0,0.0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0
0x4f41877773e44f2275da1942fee898556821bf66,2014781.9198386103,2.5186852585816295,0,0,0,0.0,0,0,0,0,1,11.11111111111111,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0
0xa6e8772af29b29b9202a073f8e36f447689beef6,2008787.3335103777,2.5111914072285146,0,0,0,0.0,0,0,0,0,1,11.11111111111111,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0
0x070341aa5ed571f0fb2c4a5641409b1a46b4961b,1626101.7376394344,2.0327949319073144,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0
0xb933aee47c438f22de0747d57fc239fe37878dd1,1556440.6639590664,1.9457114030905747,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0
0x46abfe1c972fca43766d6ad70e1c1df72f4bb4d1,1514379.4186268686,1.893130507097485,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0
0x75536cf4f01c2bfa528f5c74ddc1232db3af3ee5,1460384.4680591694,1.8256312483967707,0,0,1,0.7575757575757576,0,0,0,0,1,11.11111111111111,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0
0x3d2d722b443a5cae8e41877bb7cd649f3650937c,1182405.838988264,1.478129283867675,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0
0xb55a948763e0d386b6defcd8070a522216ae42b1,1136094.188436958,1.420234942849615,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0
0x6eda5acaff7f5964e1ecc3fd61c62570c186ca0c,1129370.433874729,1.411829555977986,0,0,1,0.7575757575757576,0,0,0,0,1,11.11111111111111,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0
0xb1ea5a3e5ea7fa1834d48058ecda26d8c59e8251,1067356.5642829572,1.3343058212102494,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0
0xe93d59cc0bcecfd4ac204827ef67c5266079e2b5,1040771.8071527818,1.3010721321308332,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0
0x80fc5137886375e7e5c9fbaaf3f1bfcf86bce482,1040662.8256577976,1.3009358940188211,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0
0x8ccde64d05a7677d80a5960cb75fb8de486cf98d,1012181.74676486,1.2653316070983347,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0
0x11cf2f033b079fbb195425bfcb7d5dac4db2d752,1008591.0883290948,1.2608429136165666,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0
0x995013b47ef3a2b07b9e60da6d1fff8fa9c53cf4,1006167.6723518212,1.2578133936286868,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0
0x8f07bc36ff569312fdc41f3867d80bbd2fe94b76,1005948.5208865928,1.2575394316879764,0,0,1,0.7575757575757576,0,0,0,0,0,0.0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0
0x2b7839e74e8a9145e594810508006b3e856088f8,1004209.8698994204,1.2553659385827969,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0
0x3fb19771947072629c8eee7995a2ef23b72d4c8a,1000851.4379103894,1.2511675521175267,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0
0x8f73be66ca8c79382f72139be03746343bf5faa0,882252.3437980313,1.1029064489774612,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0
0x8f5415415d9200ccd8523f3ee88f96f476141cc3,881218.3797657813,1.1016138872662957,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0
0x839395e20bbb182fa440d08f850e6c7a8f6f0780,861299.4432274754,1.0767131616186918,0,0,1,0.7575757575757576,0,0,0,0,0,0.0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0
0x6cea573473348367a5f66e0f261bfa25799e6a60,710341.9453057277,0.888000715401024,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0
0x9e5b45e4872de2ee4b6ffbd06b3735501826b032,562452.0460776861,0.7031230840251039,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0
0xb074ec6c37659525eef2fb44478077901f878012,552990.3284610574,0.6912949608683437,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0
0xdb5781a835b60110298ff7205d8ef9678ff1f800,518046.7988610335,0.6476119438530625,0,0,1,0.7575757575757576,0,0,0,0,0,0.0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0
0x3471884f189fd7c63fe8c83601d28ce0cc1b3853,495344.57776279486,0.6192318253627325,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0
0x45a10f35befa4ab841c77860204b133118b7ccae,464517.978047172,0.5806953954338022,0,0,1,0.7575757575757576,0,0,0,0,0,0.0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0
0x13838884271ec954cb036d0b29d404afab5eae2a,455026.26280734455,0.5688297721532822,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0
0xd1c5980984bdbb0061b842fa81b3d38859850c39,447469.76958237495,0.5593833760421699,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0
0x62a43123fe71f9764f26554b3f5017627996816a,377194.3786834428,0.4715318873250285,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0
0x7ae109a63ff4dc852e063a673b40bed85d22e585,367070.0305598573,0.4588754076730442,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0
0xc94ae9860b37170c08e51f453f8124a86cd7c0cd,343809.0251817122,0.42979675118479505,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0
0x9cbe5b896d0c24acf41860b9e3df6750c2040a40,334855.60084301926,0.4186040470644909,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0
0xb7abf554aefd4686639afcf2a653adfda3d9b038,293266.27487211314,0.3666130989594681,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0
